航班号,出港城市,到港城市,出发时刻,班期,产品,航空公司,起飞城市所属省/市,降落城市所属省/市,起飞城市机场名称,降落城市机场名称,起飞机场IATA代码,降落机场IATA代码,降落时刻
PN6377,郑州,昆明,6:00,1234567,666/2666,西部航空,河南省,云南省,郑州新郑国际机场,昆明长水国际机场,CGO,KMG,8:35
PN6415,重庆市,合肥,6:00,24,666/2666,西部航空,重庆,安徽省,重庆江北国际机场,合肥新桥国际机场,CKG,HFE,8:00
PN6497,重庆市,中卫,6:00,1357,666/2666,西部航空,重庆,宁夏,重庆江北国际机场,中卫沙坡头机场,CKG,ZHY,8:10
PN6497,重庆市,乌鲁木齐,6:00,1357,666/2666,西部航空,重庆,新疆,重庆江北国际机场,乌鲁木齐天山国际机场,CKG,URC,11:50
PN6259,重庆市,南京,6:05,1234567,666/2666,西部航空,重庆,江苏省,重庆江北国际机场,南京禄口国际机场,CKG,NKG,8:15
9H8309,西安,大连,6:10,1357,666/2666,长安航空,陕西省,辽宁,西安咸阳国际机场,大连周水子国际机场,XIY,DLC,8:30
9H8395,西安,桂林,6:10,246,666/2666,长安航空,陕西省,广西,西安咸阳国际机场,桂林两江国际机场,XIY,KWL,8:30
GS7583,西安,天津,6:10,1357,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
HU7735,深圳,郑州,6:10,1357,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,郑州新郑国际机场,SZX,CGO,9:00
PN6453,郑州,广州,6:10,1234567,666/2666,西部航空,河南省,广东省,郑州新郑国际机场,广州白云国际机场,CGO,CAN,8:25
GS7583,西安,哈尔滨,6:10,1357,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
9H8317,西安,敦煌,6:15,1234567,666/2666,长安航空,陕西省,甘肃省,西安咸阳国际机场,敦煌莫高国际机场,XIY,DNH,9:00
9H8393,西安,西双版纳,6:15,1234567,666/2666,长安航空,陕西省,云南省,西安咸阳国际机场,西双版纳嘎洒国际机场,XIY,JHG,9:00
PN6283,重庆市,温州,6:15,246,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,温州龙湾国际机场,CKG,WNZ,8:45
9H8305,西安,昆明,6:20,246,666/2666,长安航空,陕西省,云南省,西安咸阳国际机场,昆明长水国际机场,XIY,KMG,8:45
9H8387,西安,青岛,6:20,1357,666/2666,长安航空,陕西省,山东省,西安咸阳国际机场,青岛胶东国际机场,XIY,TAO,8:30
GS7583,西安,天津,6:20,46,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
GS7583,西安,天津,6:20,2,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
HU7587,西安,桂林,6:20,35,666/2666,海南航空,陕西省,广西,西安咸阳国际机场,桂林两江国际机场,XIY,KWL,9:00
HU7739,深圳,太原,6:20,24,666/2666,海南航空,广东省,山西,深圳宝安国际机场,太原武宿国际机场,SZX,TYN,8:55
HU7763,深圳,兰州,6:20,246,666/2666,海南航空,广东省,甘肃省,深圳宝安国际机场,兰州中川国际机场,SZX,LHW,9:25
PN6215,重庆市,昌都,6:20,1234567,666/2666,西部航空,重庆,西藏,重庆江北国际机场,昌都邦达机场,CKG,BPX,8:20
Y87545,上海,柳州,6:20,1234567,666/2666,金鹏航空,上海市,广西,上海浦东国际机场,柳州白莲机场,PVG,LZH,9:05
Y87581,上海,吐鲁番,6:20,135,666/2666,金鹏航空,上海市,新疆,上海浦东国际机场,吐鲁番交河机场,PVG,TLQ,11:20
GS7583,西安,哈尔滨,6:20,46,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
GS7583,西安,哈尔滨,6:20,2,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
9H8349,西安,长春,6:25,1234567,666/2666,长安航空,陕西省,吉林省,西安咸阳国际机场,长春龙嘉国际机场,XIY,CGQ,9:40
HU7735,深圳,郑州,6:25,24,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,郑州新郑国际机场,SZX,CGO,9:00
HU7739,深圳,太原,6:25,6,666/2666,海南航空,广东省,山西,深圳宝安国际机场,太原武宿国际机场,SZX,TYN,8:55
HU7761,深圳,宁波,6:25,1357,666/2666,海南航空,广东省,浙江省,深圳宝安国际机场,宁波栎社国际机场,SZX,NGB,9:00
HU7763,深圳,兰州,6:25,1357,666/2666,海南航空,广东省,甘肃省,深圳宝安国际机场,兰州中川国际机场,SZX,LHW,9:25
JD5037,海口,广元,6:25,246,666/2666,首都航空,海南省,四川省,海口美兰国际机场,广元盘龙机场,HAK,GYS,9:00
JD5321,海口,宜昌,6:25,1357,666/2666,首都航空,海南省,湖北省,海口美兰国际机场,宜昌三峡机场,HAK,YIH,8:30
JD5762,海口,恩施,6:25,1357,666/2666,首都航空,海南省,湖北省,海口美兰国际机场,恩施许家坪机场,HAK,ENH,8:25
PN6219,重庆市,阜阳,6:25,1234567,666/2666,西部航空,重庆,安徽省,重庆江北国际机场,阜阳西关机场,CKG,FUG,8:40
PN6283,重庆市,温州,6:25,17,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,温州龙湾国际机场,CKG,WNZ,8:55
PN6301,重庆市,泉州,6:25,1234567,666/2666,西部航空,重庆,福建省,重庆江北国际机场,泉州晋江国际机场,CKG,JJN,8:55
PN6305,重庆市,揭阳,6:25,1234567,666/2666,西部航空,重庆,广东省,重庆江北国际机场,揭阳潮汕国际机场,CKG,SWA,8:45
PN6370,合肥,南宁,6:25,15,666/2666,西部航空,安徽省,广西,合肥新桥国际机场,南宁吴圩国际机场,HFE,NNG,8:55
JD5037,海口,石家庄,6:25,246,666/2666,首都航空,海南省,河北,海口美兰国际机场,石家庄正定国际机场,HAK,SJW,11:50
JD5321,海口,西宁,6:25,1357,666/2666,首都航空,海南省,青海省,海口美兰国际机场,西宁曹家堡国际机场,HAK,XNN,11:35
JD5762,海口,南京,6:25,1357,666/2666,首都航空,海南省,江苏省,海口美兰国际机场,南京禄口国际机场,HAK,NKG,11:05
PN6219,重庆市,舟山,6:25,1234567,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,舟山普陀山机场,CKG,HSN,11:10
GS7641,西安,济南,6:30,1234567,666/2666,天津航空,陕西省,山东省,西安咸阳国际机场,济南遥墙国际机场,XIY,TNA,8:15
HU7021,海口,深圳,6:30,1234567,666/2666,海南航空,海南省,广东省,海口美兰国际机场,深圳宝安国际机场,HAK,SZX,7:45
HU7465,海口,西安,6:30,1234567,666/2666,海南航空,海南省,陕西省,海口美兰国际机场,西安咸阳国际机场,HAK,XIY,9:30
HU7649,哈尔滨,南昌,6:30,246,666/2666,海南航空,黑龙江省,江西省,哈尔滨太平国际机场,南昌昌北国际机场,HRB,KHN,10:15
JD5235,青岛,荆州,6:30,1357,666/2666,首都航空,山东省,湖北省,青岛胶东国际机场,荆州沙市机场,TAO,SHS,9:00
JD5661,青岛,恩施,6:30,246,666/2666,首都航空,山东省,湖北省,青岛胶东国际机场,恩施许家坪机场,TAO,ENH,9:30
JD5689,杭州,宜昌,6:30,1357,666/2666,首都航空,浙江省,湖北省,杭州萧山国际机场,宜昌三峡机场,HGH,YIH,8:30
PN6207,重庆市,海口,6:30,17,666/2666,西部航空,重庆,海南省,重庆江北国际机场,海口美兰国际机场,CKG,HAK,8:55
PN6283,重庆市,温州,6:30,35,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,温州龙湾国际机场,CKG,WNZ,8:55
PN6361,郑州,厦门,6:30,1234567,666/2666,西部航空,河南省,福建省,郑州新郑国际机场,厦门高崎国际机场,CGO,XMN,8:45
PN6455,泉州,武汉,6:30,246,666/2666,西部航空,福建省,湖北省,泉州晋江国际机场,武汉天河国际机场,JJN,WUH,8:15
Y87572,阆中,上海,6:30,1357,666/2666,金鹏航空,四川省,上海市,阆中古城机场,上海浦东国际机场,LZG,PVG,8:50
HU7465,海口,西宁,6:30,1234567,666/2666,海南航空,海南省,青海省,海口美兰国际机场,西宁曹家堡国际机场,HAK,XNN,12:10
HU7649,哈尔滨,珠海,6:30,246,666/2666,海南航空,黑龙江省,广东省,哈尔滨太平国际机场,珠海金湾机场,HRB,ZUH,13:10
JD5235,青岛,南宁,6:30,1357,666/2666,首都航空,山东省,广西,青岛胶东国际机场,南宁吴圩国际机场,TAO,NNG,12:30
JD5661,青岛,南宁,6:30,246,666/2666,首都航空,山东省,广西,青岛胶东国际机场,南宁吴圩国际机场,TAO,NNG,12:30
JD5689,杭州,贵阳,6:30,1357,666/2666,首都航空,浙江省,贵州省,杭州萧山国际机场,贵阳龙洞堡国际机场,HGH,KWE,12:25
8L9561,昆明,赣州,6:35,1357,666/2666,祥鹏航空,云南省,江西省,昆明长水国际机场,赣州黄金机场,KMG,KOW,9:00
8L9895,昆明,兰州,6:35,24,666/2666,祥鹏航空,云南省,甘肃省,昆明长水国际机场,兰州中川国际机场,KMG,LHW,8:50
8L9899,昆明,盐城,6:35,246,666/2666,祥鹏航空,云南省,江苏省,昆明长水国际机场,盐城南洋国际机场,KMG,YNZ,9:25
8L9899,昆明,盐城,6:35,1357,666/2666,祥鹏航空,云南省,江苏省,昆明长水国际机场,盐城南洋国际机场,KMG,YNZ,9:25
8L9915,昆明,西双版纳,6:35,2,666/2666,祥鹏航空,云南省,云南省,昆明长水国际机场,西双版纳嘎洒国际机场,KMG,JHG,8:00
9H8305,西安,昆明,6:35,1357,666/2666,长安航空,陕西省,云南省,西安咸阳国际机场,昆明长水国际机场,XIY,KMG,8:50
9H8325,西安,凯里,6:35,246,666/2666,长安航空,陕西省,贵州省,西安咸阳国际机场,凯里黄平机场,XIY,KJH,8:25
GX8859,海口,南宁,6:35,1357,666/2666,北部湾航空,海南省,广西,海口美兰国际机场,南宁吴圩国际机场,HAK,NNG,8:00
HU7398,杭州,深圳,6:35,2467,666/2666,海南航空,浙江省,广东省,杭州萧山国际机场,深圳宝安国际机场,HGH,SZX,8:50
HU7431,广州,上海,6:35,1234567,666/2666,海南航空,广东省,上海市,广州白云国际机场,上海浦东国际机场,CAN,PVG,8:55
JD5036,西安,郴州,6:35,1357,666/2666,首都航空,陕西省,湖南省,西安咸阳国际机场,郴州北湖机场,XIY,HCZ,9:00
JD5307,广州,银川,6:35,1234567,666/2666,首都航空,广东省,宁夏,广州白云国际机场,银川河东国际机场,CAN,INC,10:00
PN6211,重庆市,林芝,6:35,1246,666/2666,西部航空,重庆,西藏,重庆江北国际机场,林芝米林机场,CKG,LZY,9:00
PN6229,重庆市,深圳,6:35,1234567,666/2666,西部航空,重庆,广东省,重庆江北国际机场,深圳宝安国际机场,CKG,SZX,8:35
PN6265,重庆市,济南,6:35,1234567,666/2666,西部航空,重庆,山东省,重庆江北国际机场,济南遥墙国际机场,CKG,TNA,8:45
PN6349,重庆市,石家庄,6:35,1234567,666/2666,西部航空,重庆,河北,重庆江北国际机场,石家庄正定国际机场,CKG,SJW,8:40
PN6395,重庆市,太原,6:35,357,666/2666,西部航空,重庆,山西,重庆江北国际机场,太原武宿国际机场,CKG,TYN,8:30
PN6469,郑州,大连,6:35,1234567,666/2666,西部航空,河南省,辽宁,郑州新郑国际机场,大连周水子国际机场,CGO,DLC,8:35
Y87525,深圳,济南,6:35,123567,666/2666,金鹏航空,广东省,山东省,深圳宝安国际机场,济南遥墙国际机场,SZX,TNA,9:20
Y87527,深圳,呼和浩特,6:35,246,666/2666,金鹏航空,广东省,内蒙古,深圳宝安国际机场,呼和浩特白塔国际机场,SZX,HET,9:40
Y87562,邢台,上海,6:35,246,666/2666,金鹏航空,河北,上海市,邢台褡裢机场,上海浦东国际机场,XNT,PVG,8:50
8L9561,昆明,济南,6:35,1357,666/2666,祥鹏航空,云南省,山东省,昆明长水国际机场,济南遥墙国际机场,KMG,TNA,11:55
8L9899,昆明,大连,6:35,246,666/2666,祥鹏航空,云南省,辽宁,昆明长水国际机场,大连周水子国际机场,KMG,DLC,11:45
8L9899,昆明,大连,6:35,1357,666/2666,祥鹏航空,云南省,辽宁,昆明长水国际机场,大连周水子国际机场,KMG,DLC,11:40
9H8325,西安,海口,6:35,246,666/2666,长安航空,陕西省,海南省,西安咸阳国际机场,海口美兰国际机场,XIY,HAK,11:00
GX8859,海口,淮安,6:35,1357,666/2666,北部湾航空,海南省,江苏省,海口美兰国际机场,淮安涟水国际机场,HAK,HIA,13:00
JD5036,西安,海口,6:35,1357,666/2666,首都航空,陕西省,海南省,西安咸阳国际机场,海口美兰国际机场,XIY,HAK,11:30
Y87527,深圳,呼伦贝尔,6:35,246,666/2666,金鹏航空,广东省,内蒙古,深圳宝安国际机场,呼伦贝尔海拉尔东山国际机场,SZX,HLD,13:15
8L9831,昆明,香格里拉市,6:40,13567,666/2666,祥鹏航空,云南省,云南省,昆明长水国际机场,迪庆香格里拉机场,KMG,DIG,7:55
8L9873,昆明,武汉,6:40,1234567,666/2666,祥鹏航空,云南省,湖北省,昆明长水国际机场,武汉天河国际机场,KMG,WUH,8:50
8L9919,昆明,芒市,6:40,246,666/2666,祥鹏航空,云南省,云南省,昆明长水国际机场,德宏芒市机场,KMG,LUM,8:00
8L9959,昆明,安庆,6:40,6,666/2666,祥鹏航空,云南省,安徽省,昆明长水国际机场,安庆天柱山机场,KMG,AQG,9:30
9H8391,西安,贵阳,6:40,1234567,666/2666,长安航空,陕西省,贵州省,西安咸阳国际机场,贵阳龙洞堡国际机场,XIY,KWE,8:25
CN7127,北京,安庆,6:40,1234567,666/2666,大新华航空,北京,安徽省,北京首都国际机场,安庆天柱山机场,PEK,AQG,8:50
HU7023,海口,深圳,6:40,1234567,666/2666,海南航空,海南省,广东省,海口美兰国际机场,深圳宝安国际机场,HAK,SZX,7:55
HU7105,北京,大连,6:40,17,666/2666,海南航空,北京,辽宁,北京首都国际机场,大连周水子国际机场,PEK,DLC,8:15
HU7185,北京,宜昌,6:40,2467,666/2666,海南航空,北京,湖北省,北京首都国际机场,宜昌三峡机场,PEK,YIH,9:10
HU7197,北京,兰州,6:40,246,666/2666,海南航空,北京,甘肃省,北京首都国际机场,兰州中川国际机场,PEK,LHW,9:20
HU7398,杭州,深圳,6:40,1,666/2666,海南航空,浙江省,广东省,杭州萧山国际机场,深圳宝安国际机场,HGH,SZX,8:55
HU7398,杭州,深圳,6:40,35,666/2666,海南航空,浙江省,广东省,杭州萧山国际机场,深圳宝安国际机场,HGH,SZX,8:50
HU7649,哈尔滨,南昌,6:40,1357,666/2666,海南航空,黑龙江省,江西省,哈尔滨太平国际机场,南昌昌北国际机场,HRB,KHN,10:15
HU7726,上海,深圳,6:40,46,666/2666,海南航空,上海市,广东省,上海浦东国际机场,深圳宝安国际机场,PVG,SZX,9:30
HU7726,上海,深圳,6:40,37,666/2666,海南航空,上海市,广东省,上海浦东国际机场,深圳宝安国际机场,PVG,SZX,9:35
HU7735,深圳,郑州,6:40,6,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,郑州新郑国际机场,SZX,CGO,9:00
HU7737,深圳,南阳,6:40,246,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,南阳姜营机场,SZX,NNY,8:45
HU7851,深圳,乌鲁木齐,6:30,1234567,666/2666,海南航空,广东省,新疆,深圳宝安国际机场,乌鲁木齐天山国际机场,SZX,URC,12:10
UQ2616,深圳,乌鲁木齐,6:40,1234567,666/2666,乌鲁木齐航空,广东省,新疆,深圳宝安国际机场,乌鲁木齐天山国际机场,SZX,URC,12:30
JD5045,三亚,泉州,6:40,1357,666/2666,首都航空,海南省,福建省,三亚凤凰国际机场,泉州晋江国际机场,SYX,JJN,9:05
JD5185,广州,天津,6:40,1234567,666/2666,首都航空,广东省,天津,广州白云国际机场,天津滨海国际机场,CAN,TSN,9:40
PN6263,重庆市,珠海,6:40,1234567,666/2666,西部航空,重庆,广东省,重庆江北国际机场,珠海金湾机场,CKG,ZUH,8:50
PN6395,重庆市,太原,6:40,1246,666/2666,西部航空,重庆,山西,重庆江北国际机场,太原武宿国际机场,CKG,TYN,8:30
PN6415,重庆市,合肥,6:40,357,666/2666,西部航空,重庆,安徽省,重庆江北国际机场,合肥新桥国际机场,CKG,HFE,8:30
Y87537,深圳,贵阳,6:40,1234567,666/2666,金鹏航空,广东省,贵州省,深圳宝安国际机场,贵阳龙洞堡国际机场,SZX,KWE,8:55
HU7649,哈尔滨,珠海,6:40,1357,666/2666,海南航空,黑龙江省,广东省,哈尔滨太平国际机场,珠海金湾机场,HRB,ZUH,13:10
JD5045,三亚,盐城,6:40,1357,666/2666,首都航空,海南省,江苏省,三亚凤凰国际机场,盐城南洋国际机场,SYX,YNZ,12:05
Y87565,深圳,上海,6:40,1234567,666/2666,金鹏航空,广东省,上海市,深圳宝安国际机场,上海浦东国际机场,SZX,PVG,8:50
8L9517,郑州,西宁,6:45,1234567,666/2666,祥鹏航空,河南省,青海省,郑州新郑国际机场,西宁曹家堡国际机场,CGO,XNN,8:55
8L9919,昆明,芒市,6:45,17,666/2666,祥鹏航空,云南省,云南省,昆明长水国际机场,德宏芒市机场,KMG,LUM,8:00
9H8331,西安,惠州,6:45,157,666/2666,长安航空,陕西省,广东省,西安咸阳国际机场,惠州平潭机场,XIY,HUZ,9:50
9H8331,西安,惠州,6:45,3,666/2666,长安航空,陕西省,广东省,西安咸阳国际机场,惠州平潭机场,XIY,HUZ,10:00
9H8399,西安,通辽,6:45,1234567,666/2666,长安航空,陕西省,内蒙古,西安咸阳国际机场,通辽机场,XIY,TGO,9:20
9H8413,西安,南阳,6:45,246,666/2666,长安航空,陕西省,河南省,西安咸阳国际机场,南阳姜营机场,XIY,NNY,8:00
FU6587,哈尔滨,台州,6:45,7,666/2666,福州航空,黑龙江省,浙江省,哈尔滨太平国际机场,台州路桥机场,HRB,HYN,10:20
FU6635,哈尔滨,邢台,6:45,246,666/2666,福州航空,黑龙江省,河北,哈尔滨太平国际机场,邢台褡裢机场,HRB,XNT,9:20
FU6648,哈尔滨,长治市,6:45,246,666/2666,福州航空,黑龙江省,山西,哈尔滨太平国际机场,长治王村机场,HRB,CIH,10:00
FU6767,哈尔滨,黄山,6:45,135,666/2666,福州航空,黑龙江省,安徽省,哈尔滨太平国际机场,黄山屯溪国际机场,HRB,TXN,10:30
GX8871,海口,徐州,6:45,15,666/2666,北部湾航空,海南省,江苏省,海口美兰国际机场,徐州观音国际机场,HAK,XUZ,9:40
HU7002,广州,海口,6:45,1234567,666/2666,海南航空,广东省,海南省,广州白云国际机场,海口美兰国际机场,CAN,HAK,8:15
HU7587,西安,桂林,6:45,12467,666/2666,海南航空,陕西省,广西,西安咸阳国际机场,桂林两江国际机场,XIY,KWL,9:00
JD5155,海口,郴州,6:45,246,666/2666,首都航空,海南省,湖南省,海口美兰国际机场,郴州北湖机场,HAK,HCZ,8:20
JD5603,杭州,南阳,6:45,1357,666/2666,首都航空,浙江省,河南省,杭州萧山国际机场,南阳姜营机场,HGH,NNY,9:00
JD5673,杭州,攀枝花,6:45,246,666/2666,首都航空,浙江省,四川省,杭州萧山国际机场,攀枝花保安营机场,HGH,PZI,10:00
JD5775,三亚,西安,6:45,1234567,666/2666,首都航空,海南省,陕西省,三亚凤凰国际机场,西安咸阳国际机场,SYX,XIY,9:55
Y87527,深圳,呼和浩特,6:45,1357,666/2666,金鹏航空,广东省,内蒙古,深圳宝安国际机场,呼和浩特白塔国际机场,SZX,HET,9:40
8L9517,郑州,拉萨,6:45,1234567,666/2666,祥鹏航空,河南省,西藏,郑州新郑国际机场,拉萨贡嘎国际机场,CGO,LXA,12:00
9H8399,西安,呼伦贝尔,6:45,1234567,666/2666,长安航空,陕西省,内蒙古,西安咸阳国际机场,呼伦贝尔海拉尔东山国际机场,XIY,HLD,11:25
9H8413,西安,三亚,6:45,246,666/2666,长安航空,陕西省,海南省,西安咸阳国际机场,三亚凤凰国际机场,XIY,SYX,11:55
FU6587,哈尔滨,三亚,6:45,7,666/2666,福州航空,黑龙江省,海南省,哈尔滨太平国际机场,三亚凤凰国际机场,HRB,SYX,15:05
FU6635,哈尔滨,三亚,6:45,246,666/2666,福州航空,黑龙江省,海南省,哈尔滨太平国际机场,三亚凤凰国际机场,HRB,SYX,15:05
FU6648,哈尔滨,福州,6:45,246,666/2666,福州航空,黑龙江省,福建省,哈尔滨太平国际机场,福州长乐国际机场,HRB,FOC,13:35
FU6767,哈尔滨,三亚,6:45,135,666/2666,福州航空,黑龙江省,海南省,哈尔滨太平国际机场,三亚凤凰国际机场,HRB,SYX,15:05
JD5155,海口,南京,6:45,246,666/2666,首都航空,海南省,江苏省,海口美兰国际机场,南京禄口国际机场,HAK,NKG,11:05
Y87527,深圳,呼伦贝尔,6:45,1357,666/2666,金鹏航空,广东省,内蒙古,深圳宝安国际机场,呼伦贝尔海拉尔东山国际机场,SZX,HLD,13:15
8L9707,昆明,揭阳,6:50,24,666/2666,祥鹏航空,云南省,广东省,昆明长水国际机场,揭阳潮汕国际机场,KMG,SWA,9:25
8L9831,昆明,香格里拉市,6:50,2,666/2666,祥鹏航空,云南省,云南省,昆明长水国际机场,迪庆香格里拉机场,KMG,DIG,7:55
8L9959,昆明,安庆,6:50,24,666/2666,祥鹏航空,云南省,安徽省,昆明长水国际机场,安庆天柱山机场,KMG,AQG,9:30
8L9991,武汉,喀什,6:50,1234567,666/2666,祥鹏航空,湖北省,新疆,武汉天河国际机场,喀什徕宁国际机场,WUH,KHG,12:20
GS7577,乌鲁木齐,天津,6:50,5,666/2666,天津航空,新疆,天津,乌鲁木齐天山国际机场,天津滨海国际机场,URC,TSN,10:45
GS7671,西安,石家庄,6:50,246,666/2666,天津航空,陕西省,河北,西安咸阳国际机场,石家庄正定国际机场,XIY,SJW,8:25
GS7695,西安,衡阳,6:50,1357,666/2666,天津航空,陕西省,湖南省,西安咸阳国际机场,衡阳南岳机场,XIY,HNY,9:00
GX8871,海口,徐州,6:50,37,666/2666,北部湾航空,海南省,江苏省,海口美兰国际机场,徐州观音国际机场,HAK,XUZ,9:40
HU7137,北京,西安,6:50,1234567,666/2666,海南航空,北京,陕西省,北京首都国际机场,西安咸阳国际机场,PEK,XIY,9:10
HU7157,深圳,重庆市,6:50,246,666/2666,海南航空,广东省,重庆,深圳宝安国际机场,重庆江北国际机场,SZX,CKG,9:35
HU7169,海口,惠州,6:50,157,666/2666,海南航空,海南省,广东省,海口美兰国际机场,惠州平潭机场,HAK,HUZ,8:20
HU7307,三亚,广州,6:50,1234567,666/2666,海南航空,海南省,广东省,三亚凤凰国际机场,广州白云国际机场,SYX,CAN,8:25
HU7322,上海,三亚,6:50,1367,666/2666,海南航空,上海市,海南省,上海浦东国际机场,三亚凤凰国际机场,PVG,SYX,10:10
HU7405,杭州,郑州,6:50,1357,666/2666,海南航空,浙江省,河南省,杭州萧山国际机场,郑州新郑国际机场,HGH,CGO,9:00
HU7483,海口,桂林,6:50,3,666/2666,海南航空,海南省,广西,海口美兰国际机场,桂林两江国际机场,HAK,KWL,8:20
HU7558,重庆市,深圳,6:50,1234567,666/2666,海南航空,重庆,广东省,重庆江北国际机场,深圳宝安国际机场,CKG,SZX,8:50
HU7641,大连,长沙,6:50,246,666/2666,海南航空,辽宁,湖南省,大连周水子国际机场,长沙黄花国际机场,DLC,CSX,9:50
HU7641,大连,长沙,6:50,135,666/2666,海南航空,辽宁,湖南省,大连周水子国际机场,长沙黄花国际机场,DLC,CSX,9:45
HU7641,大连,长沙,6:50,7,666/2666,海南航空,辽宁,湖南省,大连周水子国际机场,长沙黄花国际机场,DLC,CSX,10:00
HU7687,海口,宁波,6:50,1,666/2666,海南航空,海南省,浙江省,海口美兰国际机场,宁波栎社国际机场,HAK,NGB,9:45
HU7726,上海,深圳,6:50,15,666/2666,海南航空,上海市,广东省,上海浦东国际机场,深圳宝安国际机场,PVG,SZX,9:35
HU7726,上海,深圳,6:50,2,666/2666,海南航空,上海市,广东省,上海浦东国际机场,深圳宝安国际机场,PVG,SZX,9:30
HU7743,深圳,南京,6:50,1234567,666/2666,海南航空,广东省,江苏省,深圳宝安国际机场,南京禄口国际机场,SZX,NKG,9:25
HU7765,深圳,榆林,6:50,1357,666/2666,海南航空,广东省,陕西省,深圳宝安国际机场,榆林榆阳机场,SZX,UYN,10:10
Y87507,上海,哈尔滨,6:50,1234567,666/2666,金鹏航空,上海市,黑龙江省,上海浦东国际机场,哈尔滨太平国际机场,PVG,HRB,10:00
Y87519,上海,郑州,6:50,1357,666/2666,金鹏航空,上海市,河南省,上海浦东国际机场,郑州新郑国际机场,PVG,CGO,8:55
Y87561,上海,邢台,6:50,246,666/2666,金鹏航空,上海市,河北,上海浦东国际机场,邢台褡裢机场,PVG,XNT,9:10
Y87563,深圳,陇南,6:50,35,666/2666,金鹏航空,广东省,甘肃省,深圳宝安国际机场,陇南成县机场,SZX,LNL,9:30
GS7671,西安,营口,6:50,246,666/2666,天津航空,陕西省,辽宁,西安咸阳国际机场,营口兰旗机场,XIY,YKH,11:00
GS7695,西安,福州,6:50,1357,666/2666,天津航空,陕西省,福建省,西安咸阳国际机场,福州长乐国际机场,XIY,FOC,11:25
HU7641,大连,昆明,6:50,246,666/2666,海南航空,辽宁,云南省,大连周水子国际机场,昆明长水国际机场,DLC,KMG,13:00
HU7641,大连,昆明,6:50,135,666/2666,海南航空,辽宁,云南省,大连周水子国际机场,昆明长水国际机场,DLC,KMG,13:00
HU7641,大连,昆明,6:50,7,666/2666,海南航空,辽宁,云南省,大连周水子国际机场,昆明长水国际机场,DLC,KMG,13:00
HU7687,海口,青岛,6:50,1,666/2666,海南航空,海南省,山东省,海口美兰国际机场,青岛胶东国际机场,HAK,TAO,12:30
HU7743,深圳,哈尔滨,6:50,1234567,666/2666,海南航空,广东省,黑龙江省,深圳宝安国际机场,哈尔滨太平国际机场,SZX,HRB,13:15
Y87563,深圳,吐鲁番,6:50,35,666/2666,金鹏航空,广东省,新疆,深圳宝安国际机场,吐鲁番交河机场,SZX,TLQ,13:30
8L9675,成都,拉萨,6:55,1234567,666/2666,祥鹏航空,四川省,西藏,成都天府国际机场,拉萨贡嘎国际机场,TFU,LXA,9:45
9H8469,贵阳,南京,6:55,15,666/2666,长安航空,贵州省,江苏省,贵阳龙洞堡国际机场,南京禄口国际机场,KWE,NKG,9:30
CN7139,北京,哈尔滨,6:55,123467,666/2666,大新华航空,北京,黑龙江省,北京首都国际机场,哈尔滨太平国际机场,PEK,HRB,8:55
GS7533,乌鲁木齐,伊宁,6:55,5,666/2666,天津航空,新疆,新疆,乌鲁木齐天山国际机场,伊宁机场,URC,YIN,8:25
GS7549,乌鲁木齐,和田,6:55,15,666/2666,天津航空,新疆,新疆,乌鲁木齐天山国际机场,和田昆冈机场,URC,HTN,9:05
GS7577,乌鲁木齐,天津,6:55,36,666/2666,天津航空,新疆,天津,乌鲁木齐天山国际机场,天津滨海国际机场,URC,TSN,10:45
HU7105,北京,大连,6:55,23456,666/2666,海南航空,北京,辽宁,北京首都国际机场,大连周水子国际机场,PEK,DLC,8:25
HU7185,北京,宜昌,6:55,135,666/2666,海南航空,北京,湖北省,北京首都国际机场,宜昌三峡机场,PEK,YIH,9:10
HU7259,广州,东营,6:55,246,666/2666,海南航空,广东省,山东省,广州白云国际机场,东营胜利机场,CAN,DOY,9:55
HU7322,上海,三亚,6:55,245,666/2666,海南航空,上海市,海南省,上海浦东国际机场,三亚凤凰国际机场,PVG,SYX,10:10
HU7359,三亚,贵阳,6:55,1234567,666/2666,海南航空,海南省,贵州省,三亚凤凰国际机场,贵阳龙洞堡国际机场,SYX,KWE,9:00
